Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Archaea,Aenigmarchaeota,Aenigmarchaeia,*Aenigmarchaeales*,0.14,0.12,0.03,0,0.04,0.03
Bacteria,Patescibacteria,Gracilibacteria,*Candidatus_Peribacteria*,0.29,0.01,0.01,0,0.01,0
Archaea,Crenarchaeota,Bathyarchaeia,*Bathyarchaeia*,0.11,0.11,0.02,0,0.04,0.04
Bacteria,Proteobacteria,Alphaproteobacteria,*Order* (*of*) Alphaproteobacteria,0.26,0.05,0,0,0,0
Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,*BD2-11_terrestrial_group*,0.21,0.04,0.02,0.01,0.02,0.02
Bacteria,Cyanobacteria,Vampirivibrionia,*Obscuribacterales*,0.2,0.07,0,0,0,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,*Diplorickettsiales*,0.25,0.02,0.01,0,0.01,0.01
Bacteria,BHI80-139,BHI80-139,*BHI80-139*,0.2,0.04,0.02,0.01,0.01,0.02
Bacteria,Chloroflexi,Dehalococcoidia,*S085*,0.2,0.06,0,0,0.02,0
Bacteria,Acidobacteriota,Vicinamibacteria,*Subgroup_17*,0.25,0,0.01,0,0,0.01
Bacteria,Sva0485,Sva0485,*Sva0485*,0.2,0.03,0.02,0,0.01,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Gammaproteobacteria_Incertae_Sedis*,0.24,0,0,0,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,*Paracaedibacterales*,0.23,0.01,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,*CCM11a*,0.24,0,0,0,0,0
Bacteria,RCP2-54,RCP2-54,*RCP2-54*,0.18,0.02,0.01,0,0,0.01
Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),*SAR324_clade(Marine_group_B)*,0.2,0.01,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Holosporales*,0.14,0.04,0.02,0,0,0.01
Bacteria,Proteobacteria,Class of Proteobacteria,*Order* (*of*) Proteobacteria,0.2,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Adlerbacteria*,0.09,0.08,0.01,0.01,0.01,0.01
Bacteria,Bacteroidota,Bacteroidia,*Cytophagales*,0.17,0.02,0,0.01,0,0
Archaea,Iainarchaeota,Iainarchaeia,*Iainarchaeales*,0.04,0.06,0.01,0,0.03,0.06
Bacteria,Proteobacteria,Gammaproteobacteria,*PLTA13*,0.11,0.02,0.02,0.01,0,0.02
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Opitutales*,0.17,0,0,0,0,0
Bacteria,Acidobacteriota,Blastocatellia,*11-24*,0.14,0.01,0.01,0,0,0
Bacteria,Myxococcota,Polyangia,*Haliangiales*,0.15,0,0,0,0,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Methylacidiphilales*,0.14,0,0,0,0,0.01
Bacteria,Planctomycetota,Phycisphaerae,*Phycisphaerales*,0.13,0.02,0,0,0,0
Bacteria,Acidobacteriota,Acidobacteriae,*Bryobacterales*,0.14,0,0,0,0.01,0
Bacteria,Patescibacteria,Gracilibacteria,*JGI_0000069-P22*,0.12,0.02,0.01,0,0,0
Bacteria,Bdellovibrionota,Oligoflexia,*Oligoflexales*,0.13,0,0,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,*Corynebacteriales*,0.03,0.03,0.02,0.02,0.02,0.02
Bacteria,Desulfobacterota,Class of Desulfobacterota,*Order* (*of*) Desulfobacterota,0.13,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Legionellales*,0.09,0.01,0.01,0,0,0
Bacteria,Chloroflexi,Anaerolineae,*Ardenticatenales*,0.11,0,0.01,0,0,0
Bacteria,Elusimicrobiota,Elusimicrobia,*MVP-88*,0.12,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Oceanospirillales*,0.07,0.03,0.01,0,0,0
Bacteria,Chloroflexi,Anaerolineae,*Anaerolineales*,0.05,0.02,0.01,0.01,0.01,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,*Coxiellales*,0.09,0,0.01,0,0.01,0
Bacteria,Acidobacteriota,Subgroup_22,*Subgroup_22*,0.1,0,0,0,0,0
Bacteria,Planctomycetota,Pla4_lineage,*Pla4_lineage*,0.1,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*HglApr721*,0.07,0.01,0,0,0.01,0.01
Bacteria,Patescibacteria,Saccharimonadia,*Saccharimonadales*,0.1,0,0,0,0,0
Bacteria,Chloroflexi,OLB14,*OLB14*,0.1,0,0,0,0,0
Bacteria,Actinobacteriota,Thermoleophilia,*Solirubrobacterales*,0.09,0,0,0,0.01,0
Bacteria,Dadabacteria,Dadabacteriia,*Dadabacteriales*,0.06,0.02,0.01,0,0.01,0
Bacteria,Planctomycetota,vadinHA49,*vadinHA49*,0.08,0.01,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Yanofskybacteria*,0.06,0.02,0,0,0,0.01
Bacteria,Myxococcota,Myxococcia,*Myxococcales*,0.07,0.01,0,0,0,0
Bacteria,Myxococcota,Polyangia,*Polyangiales*,0.08,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*Sh765B-AG-111*,0.04,0.04,0,0,0,0
Bacteria,Nitrospirota,Thermodesulfovibrionia,*Order* (*of*) Thermodesulfovibrionia,0.05,0.01,0,0.01,0,0.01
Bacteria,Zixibacteria,Zixibacteria,*Zixibacteria*,0.05,0.01,0,0,0,0
Bacteria,Acidobacteriota,Subgroup_5,*Subgroup_5*,0.07,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Xanthomonadales*,0.03,0,0,0.02,0.01,0.01
Bacteria,Latescibacterota,Latescibacterota,*Latescibacterota*,0.06,0.01,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Ga0077536*,0.07,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*Dehalococcoidales*,0.02,0.04,0,0,0,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,*Steroidobacterales*,0.07,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,*Staphylococcales*,0.02,0.01,0.01,0.01,0.01,0.01
Bacteria,Patescibacteria,Microgenomatia,*Candidatus_Woesebacteria*,0.04,0.02,0,0,0,0.01
Bacteria,Acidobacteriota,Acidobacteriae,*Acidobacteriales*,0.07,0,0,0,0,0
Bacteria,Chloroflexi,Anaerolineae,*SBR1031*,0.05,0,0.01,0.01,0,0.01
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Jorgensenbacteria*,0.05,0.01,0,0,0,0
Bacteria,Acidobacteriota,Blastocatellia,*Blastocatellales*,0.06,0,0,0,0,0
Bacteria,Verrucomicrobiota,Lentisphaeria,*Victivallales*,0.06,0,0,0,0,0
Bacteria,Planctomycetota,Pla3_lineage,*Pla3_lineage*,0.06,0,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,*mle1-8*,0.05,0.01,0,0,0,0
Bacteria,Myxococcota,Polyangia,*Blfdi19*,0.05,0,0,0,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,*Caedibacterales*,0.04,0.01,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*t0.6.f*,0.03,0,0,0,0.01,0.01
Bacteria,Chloroflexi,Dehalococcoidia,*GIF3*,0.05,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Piscirickettsiales*,0.04,0,0.01,0,0,0
Bacteria,FCPU426,FCPU426,*FCPU426*,0.04,0.01,0,0,0,0
Bacteria,WPS-2,WPS-2,*WPS-2*,0.04,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Paceibacterales*,0.03,0.01,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*UBA9983*,0.03,0.01,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Acidiferrobacterales*,0.04,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Tenderiales*,0.04,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Dongiales*,0.03,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*EV818SWSAP88*,0.04,0,0,0,0,0
Bacteria,Desulfobacterota,Desulfuromonadia,*PB19*,0.03,0,0,0,0,0
Bacteria,Gemmatimonadota,Gemmatimonadetes,*Gemmatimonadales*,0.03,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*FS117-23B-02*,0.03,0,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,*Tepidisphaerales*,0.03,0,0,0,0,0
Bacteria,Myxococcota,Polyangia,*Nannocystales*,0.03,0,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,*MSBL9*,0.03,0,0,0,0,0
Bacteria,Actinobacteriota,Acidimicrobiia,*Order* (*of*) Acidimicrobiia,0.02,0.01,0,0,0,0
Bacteria,Chloroflexi,TK10,*TK10*,0.03,0,0,0,0,0
Bacteria,Chloroflexi,KD4-96,*KD4-96*,0.02,0,0,0,0,0
Bacteria,MBNT15,MBNT15,*MBNT15*,0.03,0,0,0,0,0
Bacteria,Desulfobacterota,Desulfobaccia,*Desulfobaccales*,0.03,0,0,0,0,0
Bacteria,Actinobacteriota,Thermoleophilia,*Gaiellales*,0.03,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Defluviicoccales*,0.03,0,0,0,0,0
Bacteria,Bacteroidota,Bacteroidia,*Order* (*of*) Bacteroidia,0.03,0,0,0,0,0
Bacteria,Actinobacteriota,Acidimicrobiia,*Microtrichales*,0.03,0,0,0,0,0
Bacteria,Bacteroidota,Bacteroidia,*Bacteroidetes_VC2.1_Bac22*,0.02,0.01,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*JdFR-54*,0.03,0,0,0,0,0
Bacteria,Sumerlaeota,Sumerlaeia,*Sumerlaeales*,0.03,0,0,0,0,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Chthoniobacterales*,0.02,0.01,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Campbellbacteria*,0.03,0,0,0,0,0
Bacteria,Patescibacteria,Berkelbacteria,*Berkelbacteria*,0.02,0.01,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Methylococcales*,0.02,0,0,0,0,0
Bacteria,Armatimonadota,Class of Armatimonadota,*Order* (*of*) Armatimonadota,0.03,0,0,0,0,0
Bacteria,Bacteroidota,OC31,*OC31*,0.01,0.02,0,0,0,0
Bacteria,Patescibacteria,Gracilibacteria,*Gracilibacteria*,0.02,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Beggiatoales*,0.02,0,0,0,0,0
Bacteria,Spirochaetota,Leptospirae,*Leptospirales*,0.02,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*GIF9*,0.02,0,0,0,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,*Acetobacterales*,0.02,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*MSBL5*,0.02,0,0,0,0,0
Bacteria,Bdellovibrionota,Oligoflexia,*Silvanigrellales*,0.02,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Reyranellales*,0.02,0,0,0,0,0
Bacteria,Bacteroidota,Kapabacteria,*Kapabacteriales*,0.02,0,0,0,0,0
Bacteria,Margulisbacteria,Margulisbacteria,*Margulisbacteria*,0.02,0,0,0,0,0
Bacteria,Desulfobacterota,Syntrophia,*Syntrophales*,0.02,0,0,0,0,0
Bacteria,Hydrogenedentes,Hydrogenedentia,*Hydrogenedentiales*,0.02,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*FW22*,0.01,0.01,0,0,0,0
Bacteria,Bacteroidota,Rhodothermia,*Rhodothermales*,0,0,0,0,0.01,0.01
Bacteria,Chloroflexi,Dehalococcoidia,*SPG12-343-353-B75*,0.02,0,0,0,0,0
Bacteria,Methylomirabilota,Methylomirabilia,*Rokubacteriales*,0.02,0,0,0,0,0
Archaea,Micrarchaeota,Micrarchaeia,*Micrarchaeales*,0.01,0,0,0,0.01,0
Archaea,Crenarchaeota,Nitrososphaeria,*Nitrosopumilales*,0.02,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Nitrosococcales*,0.02,0,0,0,0,0
Bacteria,Planctomycetota,Planctomycetes,*Isosphaerales*,0.02,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Parvibaculales*,0.02,0,0,0,0,0
Archaea,Thermoplasmatota,Thermoplasmata,*Methanomassiliicoccales*,0.01,0,0.01,0,0,0
Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),*Marinimicrobia_(SAR406_clade)*,0.01,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Lloydbacteria*,0.02,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,*Mycoplasmatales*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*BD72BR169*,0.01,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*661239*,0.01,0,0,0,0,0.01
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Verrucomicrobiales*,0.01,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Nealsonbacteria*,0.02,0,0,0,0,0
Bacteria,Caldatribacteriota,JS1,*JS1*,0.01,0.01,0,0,0,0
Archaea,Altiarchaeota,Altiarchaeia,*Altiarchaeales*,0,0.01,0,0,0,0
Archaea,Thermoplasmatota,Thermoplasmata,*Order* (*of*) Thermoplasmata,0.02,0,0,0,0,0
Bacteria,Bacteroidota,Kryptonia,*Kryptoniales*,0.02,0,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,*DG-20*,0.01,0,0,0,0,0
Bacteria,Patescibacteria,Microgenomatia,*Order* (*of*) Microgenomatia,0,0.01,0,0,0,0
Archaea,Thermoplasmatota,Thermoplasmata,*Marine_Benthic_Group_D_and_DHVEG-1*,0,0,0,0,0.01,0
Bacteria,Cyanobacteria,Sericytochromatia,*Sericytochromatia*,0.01,0,0,0,0,0
Bacteria,Actinobacteriota,Acidimicrobiia,*IMCC26256*,0.01,0,0,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,*Frankiales*,0.01,0,0,0,0,0
Bacteria,Verrucomicrobiota,Lentisphaeria,*Lentisphaerales*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Aeromonadales*,0.01,0,0.01,0,0,0
Bacteria,Bacteroidota,Bacteroidia,*Bacteroidales*,0.01,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Giovannonibacteria*,0.01,0,0,0,0,0
Bacteria,NB1-j,NB1-j,*NB1-j*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*NRL2*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Zavarziniales*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Ectothiorhodospirales*,0.01,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*3051bac4-16*,0.01,0,0,0,0,0
Archaea,Aenigmarchaeota,Aenigmarchaeota,*Aenigmarchaeota*,0,0.01,0,0,0,0
Bacteria,Armatimonadota,Chthonomonadetes,*Chthonomonadales*,0.01,0,0,0,0,0
Bacteria,Chloroflexi,Anaerolineae,*Caldilineales*,0.01,0,0,0,0,0
Bacteria,Desulfobacterota,Desulfobacteria,*Desulfobacterales*,0.01,0,0,0,0,0
Bacteria,Latescibacterota,Latescibacteria,*Latescibacterales*,0.01,0,0,0,0,0
Bacteria,Patescibacteria,Microgenomatia,*Candidatus_Daviesbacteria*,0.01,0,0,0,0,0
Bacteria,Planctomycetota,028H05-P-BN-P5,*028H05-P-BN-P5*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Cellvibrionales*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Ferrovibrionales*,0.01,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Moranbacteria*,0.01,0,0,0,0,0
Archaea,Crenarchaeota,Nitrososphaeria,*Group_1.1c*,0.01,0,0,0,0,0
Bacteria,Acidobacteriota,Blastocatellia,*Pyrinomonadales*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Acidithiobacillales*,0.01,0,0,0,0,0
Bacteria,Acidobacteriota,Acidobacteriae,*Subgroup_2*,0.01,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*MB-C2-126*,0.01,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*Sh765B-TzT-20*,0.01,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*vadinBA26*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Azospirillales*,0.01,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,*Lactobacillales*,0,0,0,0,0,0
Bacteria,Planctomycetota,Planctomycetes,*Order* (*of*) Planctomycetes,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*JTB23*,0.01,0,0,0,0,0
Bacteria,Bacteroidota,Class of Bacteroidota,*Order* (*of*) Bacteroidota,0.01,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,*Order* (*of*) Clostridia,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Thiotrichales*,0.01,0,0,0,0,0
Bacteria,Acidobacteriota,Aminicenantia,*Aminicenantales*,0.01,0,0,0,0,0
Bacteria,Chloroflexi,Class of Chloroflexi,*Order* (*of*) Chloroflexi,0.01,0,0,0,0,0
Bacteria,Myxococcota,Polyangia,*VHS-B3-70*,0.01,0,0,0,0,0
Bacteria,Nitrospirota,Leptospirillia,*Leptospirillales*,0.01,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Staskawiczbacteria*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Kiloniellales*,0,0,0,0,0,0
Bacteria,Patescibacteria,Gracilibacteria,*Candidatus_Abawacabacteria*,0,0.01,0,0,0,0
Bacteria,Armatimonadota,Fimbriimonadia,*Fimbriimonadales*,0.01,0,0,0,0,0
Bacteria,Bdellovibrionota,Oligoflexia,*053A03-B-DI-P58*,0.01,0,0,0,0,0
Bacteria,Elusimicrobiota,Class of Elusimicrobiota,*Order* (*of*) Elusimicrobiota,0.01,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Vogelbacteria*,0.01,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Cardiobacteriales*,0.01,0,0,0,0,0
Bacteria,WOR-1,WOR-1,*WOR-1*,0.01,0,0,0,0,0
Bacteria,Chloroflexi,Anaerolineae,*RBG-13-54-9*,0,0,0,0,0,0
Archaea,Crenarchaeota,Nitrososphaeria,*Marine_Benthic_Group_A*,0,0,0,0,0,0
Bacteria,Acidobacteriota,Acidobacteriae,*Subgroup_13*,0,0,0,0,0,0
Bacteria,Acidobacteriota,Blastocatellia,*DS-100*,0,0,0,0,0,0
Bacteria,Actinobacteriota,Class of Actinobacteriota,*Order* (*of*) Actinobacteriota,0,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*ER-E4-17*,0,0,0,0,0,0
Bacteria,Desulfobacterota,Desulfuromonadia,*Bradymonadales*,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,*Clostridia*,0,0,0,0,0,0
Bacteria,Patescibacteria,ABY1,*Candidatus_Kerfeldbacteria*,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*EC3*,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,*Bacillales*,0,0,0,0,0,0
Archaea,Halobacterota,ANME-1,*ANME-1a*,0,0,0,0,0,0
Bacteria,Elusimicrobiota,Elusimicrobia,*Order* (*of*) Elusimicrobia,0,0,0,0,0,0
Bacteria,Myxococcota,Polyangia,*mle1-27*,0,0,0,0,0,0
Bacteria,Patescibacteria,Microgenomatia,*Candidatus_Gottesmanbacteria*,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Sneathiellales*,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,*Caldicoprobacterales*,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*KF-JG30-C25*,0,0,0,0,0,0
Bacteria,Chloroflexi,Chloroflexia,*Chloroflexales*,0,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*Napoli-4B-65*,0,0,0,0,0,0
Bacteria,Desulfobacterota,Desulfobulbia,*Desulfobulbales*,0,0,0,0,0,0
Bacteria,Elusimicrobiota,4-29,*4-29*,0,0,0,0,0,0
Bacteria,Myxococcota,Polyangia,*FFCH16767*,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*F9P41300-M23*,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,*Thermicanales*,0,0,0,0,0,0
Archaea,Halobacterota,Methanomicrobia,*Methanomicrobiales*,0,0,0,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,*Kineosporiales*,0,0,0,0,0,0
