Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Proteobacteria,Gammaproteobacteria,*Burkholderiales*,28.96,29.18,33.41,39.38
Bacteria,Bacteroidota,Bacteroidia,*Flavobacteriales*,18.71,7.94,15.09,13.91
Bacteria,Proteobacteria,Alphaproteobacteria,*Sphingomonadales*,1.03,1.47,3.35,10.92
Bacteria,Bacteroidota,Bacteroidia,*Chitinophagales*,3.85,4.81,4.01,2.37
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Verrucomicrobiales*,2.26,4.02,5.67,1.58
Bacteria,Chloroflexi,Anaerolineae,*Anaerolineales*,2.77,2.37,4.32,0.13
Bacteria,Patescibacteria,Saccharimonadia,*Saccharimonadales*,6.16,1.73,1.08,0.17
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Pedosphaerales*,1.68,2.34,4.3,0.36
Bacteria,Proteobacteria,Gammaproteobacteria,*Pseudomonadales*,1.99,1.13,0.38,4.65
Bacteria,Bacteroidota,Bacteroidia,*Sphingobacteriales*,2.13,2.24,2.46,1.19
Bacteria,Proteobacteria,Gammaproteobacteria,*Alteromonadales*,0.74,0.32,0.84,4.82
Bacteria,Bacteroidota,Bacteroidia,*Cytophagales*,0.63,0.79,2.38,2.76
Bacteria,Proteobacteria,Alphaproteobacteria,*Rickettsiales*,1.44,1.68,1.43,1.52
Bacteria,Nitrospirota,Nitrospiria,*Nitrospirales*,0.75,3.21,1.46,0.43
Bacteria,Proteobacteria,Alphaproteobacteria,*Caulobacterales*,0.47,0.8,1.03,3.26
Bacteria,Firmicutes,Clostridia,*Peptostreptococcales-Tissierellales*,1.13,2.78,0.69,0.94
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhizobiales*,0.71,1.41,1.3,1.54
Bacteria,Cyanobacteria,Vampirivibrionia,*Obscuribacterales*,1.08,2.17,0.77,0.62
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhodobacterales*,0.42,0.7,0.79,2.28
Bacteria,Proteobacteria,Gammaproteobacteria,*Salinisphaerales*,1.04,1.41,0.92,0.75
Bacteria,Planctomycetota,Planctomycetes,*Planctomycetales*,0.51,1.61,1.37,0.59
Bacteria,Firmicutes,Clostridia,*Clostridiales*,0.85,1.97,0.43,0.61
Bacteria,Proteobacteria,Alphaproteobacteria,*Holosporales*,1.57,1.66,0.4,0.13
Bacteria,Bacteroidota,Bacteroidia,*Bacteroidales*,1.71,1.13,0.15,0.02
Bacteria,Planctomycetota,OM190,*OM190*,0.5,0.95,1.2,0.17
Bacteria,Proteobacteria,Gammaproteobacteria,*Xanthomonadales*,0.39,0.85,0.41,0.74
Bacteria,Planctomycetota,Planctomycetes,*Pirellulales*,0.29,1.11,0.5,0.33
Bacteria,Proteobacteria,Gammaproteobacteria,*Gammaproteobacteria_Incertae_Sedis*,0.86,1.15,0.11,0.07
Bacteria,Dependentiae,Babeliae,*Babeliales*,0.63,0.95,0.42,0.13
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Nomurabacteria*,1.42,0.46,0.2,0.05
Bacteria,Proteobacteria,Alphaproteobacteria,*Paracaedibacterales*,0.32,0.63,0.53,0.3
Bacteria,Proteobacteria,Gammaproteobacteria,*CHAB-XI-27*,0.35,0.37,0.74,0.26
Bacteria,Proteobacteria,Alphaproteobacteria,*Reyranellales*,0.22,0.35,0.21,0.92
Bacteria,Proteobacteria,Gammaproteobacteria,*Cellvibrionales*,0.96,0.51,0.14,0.07
Bacteria,Patescibacteria,Parcubacteria,*Parcubacteria*,1.07,0.26,0.24,0
Bacteria,Myxococcota,Polyangia,*Haliangiales*,0.47,0.6,0.31,0.08
Bacteria,Bdellovibrionota,Bdellovibrionia,*Bdellovibrionales*,0.64,0.49,0.17,0.04
Bacteria,Proteobacteria,Class of Proteobacteria,*Order* (*of*) Proteobacteria,0.39,0.57,0.26,0.1
Bacteria,Verrucomicrobiota,Chlamydiae,*Chlamydiales*,0.33,0.49,0.16,0.14
Bacteria,Proteobacteria,Gammaproteobacteria,*Oceanospirillales*,0.32,0.37,0.32,0.08
Bacteria,Spirochaetota,Leptospirae,*Leptospirales*,0.81,0.15,0.1,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Caedibacterales*,0.15,0.57,0.07,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,*Legionellales*,0.1,0.11,0.53,0.05
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Opitutales*,0.17,0.29,0.32,0.01
Bacteria,Actinobacteriota,Actinobacteria,*Order* (*of*) Actinobacteria,0.32,0.34,0.07,0.05
Bacteria,Myxococcota,Polyangia,*Polyangiales*,0.25,0.24,0.25,0.03
Bacteria,Firmicutes,Bacilli,*Lactobacillales*,0.36,0.29,0.04,0.02
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Chthoniobacterales*,0.17,0.33,0.17,0.04
Bacteria,Actinobacteriota,Acidimicrobiia,*Microtrichales*,0.2,0.23,0.21,0.05
Bacteria,Bacteroidota,Kapabacteria,*Kapabacteriales*,0.26,0.16,0.21,0.02
Bacteria,Actinobacteriota,Actinobacteria,*Micrococcales*,0.15,0.3,0.09,0.07
Bacteria,Bdellovibrionota,Oligoflexia,*0319-6G20*,0.29,0.25,0.04,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Order* (*of*) Gammaproteobacteria,0.19,0.27,0.06,0.06
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhodospirillales*,0.18,0.2,0.14,0.02
Bacteria,Bdellovibrionota,Oligoflexia,*Oligoflexales*,0.04,0.12,0.36,0.01
Bacteria,Actinobacteriota,Actinobacteria,*Corynebacteriales*,0.01,0.12,0.33,0.05
Bacteria,Myxococcota,Polyangia,*Nannocystales*,0.13,0.17,0.16,0.05
Bacteria,Proteobacteria,Gammaproteobacteria,*Acidithiobacillales*,0.05,0.42,0,0
Bacteria,Chloroflexi,Anaerolineae,*1-20*,0.08,0.16,0.2,0.02
Bacteria,Acidobacteriota,Vicinamibacteria,*Vicinamibacterales*,0,0.19,0.19,0.06
Bacteria,Planctomycetota,Planctomycetes,*Gemmatales*,0.04,0.19,0.09,0.1
Bacteria,Campilobacterota,Campylobacteria,*Campylobacterales*,0.27,0.11,0.01,0.01
Bacteria,Chloroflexi,Anaerolineae,*SBR1031*,0.06,0.15,0.17,0.02
Bacteria,Proteobacteria,Gammaproteobacteria,*Aeromonadales*,0.21,0.15,0.01,0.02
Bacteria,Chloroflexi,Anaerolineae,*Caldilineales*,0.08,0.18,0.13,0
Bacteria,Planctomycetota,Planctomycetes,*Isosphaerales*,0.1,0.17,0.05,0.07
Bacteria,Proteobacteria,Alphaproteobacteria,*Acetobacterales*,0.03,0.08,0.1,0.17
Bacteria,Patescibacteria,Parcubacteria,*Order* (*of*) Parcubacteria,0.23,0.13,0.01,0
Bacteria,Cyanobacteria,Vampirivibrionia,*Gastranaerophilales*,0.12,0.2,0,0
Bacteria,Planctomycetota,Phycisphaerae,*Phycisphaerales*,0.03,0.22,0.08,0
Bacteria,Verrucomicrobiota,Omnitrophia,*Omnitrophales*,0.08,0.23,0,0
Bacteria,WPS-2,WPS-2,*WPS-2*,0.08,0.11,0.07,0.04
Bacteria,Gemmatimonadota,Gemmatimonadetes,*Gemmatimonadales*,0.08,0.11,0.08,0.02
Bacteria,Firmicutes,Bacilli,*Erysipelotrichales*,0.07,0.14,0.04,0.04
Bacteria,Proteobacteria,Gammaproteobacteria,*Ga0077536*,0.1,0.09,0.09,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Diplorickettsiales*,0.09,0.15,0.02,0.02
Bacteria,Actinobacteriota,Thermoleophilia,*Solirubrobacterales*,0.08,0.13,0.06,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Thiotrichales*,0.1,0.13,0.02,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,*Azospirillales*,0.04,0.1,0.06,0.05
Bacteria,Firmicutes,Clostridia,*Lachnospirales*,0.11,0.1,0.01,0.02
Bacteria,Actinobacteriota,Actinobacteria,*Propionibacteriales*,0.08,0.1,0.03,0.04
Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),*SAR324_clade(Marine_group_B)*,0.08,0.09,0.06,0
Bacteria,Hydrogenedentes,Hydrogenedentia,*Hydrogenedentiales*,0.05,0.1,0.06,0.01
Bacteria,Myxococcota,Polyangia,*Blfdi19*,0.06,0.09,0.05,0.01
Bacteria,Fibrobacterota,Fibrobacteria,*Fibrobacterales*,0.18,0.02,0,0
Bacteria,Bacteroidota,SJA-28,*SJA-28*,0.07,0.07,0.04,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,*Micavibrionales*,0.05,0.1,0.04,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Competibacterales*,0.04,0.08,0.06,0
Bacteria,Acidobacteriota,Thermoanaerobaculia,*Thermoanaerobaculales*,0,0.16,0,0.02
Bacteria,Bacteroidota,Bacteroidia,*Order* (*of*) Bacteroidia,0.04,0.05,0.08,0
Bacteria,Myxococcota,Myxococcia,*Myxococcales*,0.05,0.06,0.05,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,*Coxiellales*,0,0.11,0.05,0.01
Bacteria,Chloroflexi,Chloroflexia,*Thermomicrobiales*,0.03,0.08,0.02,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,*Order* (*of*) Alphaproteobacteria,0,0.08,0.05,0.02
Bacteria,Proteobacteria,Gammaproteobacteria,*Immundisolibacterales*,0.11,0.02,0.02,0
Bacteria,Chloroflexi,Anaerolineae,*Ardenticatenales*,0.04,0.06,0.04,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Micropepsales*,0.01,0.09,0.01,0.04
Bacteria,Firmicutes,Negativicutes,*Veillonellales-Selenomonadales*,0.07,0.05,0,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,*Enterobacterales*,0.06,0.05,0.01,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,*CCM19a*,0.05,0.05,0.02,0.01
Bacteria,Cyanobacteria,Cyanobacteriia,*Cyanobacteriales*,0.04,0.07,0.01,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,*R7C24*,0,0.03,0.1,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Methylococcales*,0.05,0.07,0,0
Bacteria,Bdellovibrionota,Bdellovibrionia,*Bacteriovoracales*,0.08,0.04,0,0
Bacteria,Acidobacteriota,Acidobacteriae,*Acidobacteriae*,0.01,0.04,0.05,0
Bacteria,Fusobacteriota,Fusobacteriia,*Fusobacteriales*,0.08,0.03,0,0
Bacteria,Firmicutes,Clostridia,*Oscillospirales*,0.05,0.03,0,0.01
Bacteria,Patescibacteria,Gracilibacteria,*Gracilibacteria*,0.05,0.02,0.01,0
Archaea,Halobacterota,Methanosarcinia,*Methanosarciniales*,0.02,0.06,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Ferrovibrionales*,0,0.02,0.04,0.02
Bacteria,Proteobacteria,Gammaproteobacteria,*Steroidobacterales*,0,0.05,0.02,0
Bacteria,Actinobacteriota,Actinobacteria,*Actinomycetales*,0.04,0.03,0.01,0
Bacteria,Firmicutes,Clostridia,*Clostridia*,0.03,0.04,0.01,0
Bacteria,Acidobacteriota,Vicinamibacteria,*Subgroup_17*,0,0.07,0,0
Bacteria,Firmicutes,Negativicutes,*Acidaminococcales*,0.04,0.03,0,0
Bacteria,Cyanobacteria,Sericytochromatia,*Sericytochromatia*,0.03,0.03,0.01,0
Bacteria,Acidobacteriota,Holophagae,*Holophagales*,0.04,0.03,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Defluviicoccales*,0.01,0.03,0.01,0.02
Bacteria,Bdellovibrionota,Oligoflexia,*053A03-B-DI-P58*,0.04,0,0.02,0.01
Bacteria,Firmicutes,Bacilli,*Entomoplasmatales*,0.04,0.03,0,0
