Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,*Family* (*of*) Ardenticatenales,2240,1710,1980,0
Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,*Coxiellaceae*,0,3220,2420,280
Bacteria,Proteobacteria,Gammaproteobacteria,CCM19a,*CCM19a*,2930,1630,1070,280
Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,*Bacteriovoracaceae*,4760,1100,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Hydrogenophilaceae*,3630,1290,890,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,*Puniceicoccaceae*,3080,1700,670,280
Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,*Thermoanaerobaculaceae*,0,4680,0,850
Bacteria,Proteobacteria,Gammaproteobacteria,R7C24,*R7C24*,0,850,4580,0
Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,*JG30-KF-CM45*,1260,2280,450,1390
Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,*Micropepsaceae*,490,2620,450,1660
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Cytophagaceae*,1680,2040,1470,0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,*Enterobacteriaceae*,2970,1470,240,460
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,*Nocardioidaceae*,2380,1080,670,980
Bacteria,Proteobacteria,Alphaproteobacteria,Order of Alphaproteobacteria,*Family* (*of*) Alphaproteobacteria,210,2360,1800,700
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,*Methylomonadaceae*,2890,2010,160,0
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,*Microbacteriaceae*,420,1370,0,3210
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Prevotellaceae*,3240,1290,310,0
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,*Propionibacteriaceae*,2240,1670,480,420
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,*Leptotrichiaceae*,3980,490,0,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*KD3-93*,2430,920,1100,0
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriae,*Acidobacteriae*,840,1320,2100,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,*Shewanellaceae*,770,130,0,3130
Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,*Gracilibacteria*,2810,650,440,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*Family* (*of*) Rickettsiales,2240,900,670,0
Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,*053A03-B-DI-P58*,2380,0,1120,270
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*Candidatus_Hepatincola*,2930,540,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,*Xenococcaceae*,1870,1160,380,0
Bacteria,Proteobacteria,Alphaproteobacteria,Ferrovibrionales,*Ferrovibrionaceae*,0,720,1790,840
Bacteria,Acidobacteriota,Holophagae,Holophagales,*Holophagaceae*,2370,970,0,0
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,*Actinomycetaceae*,2140,890,300,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Chitinibacteraceae*,2180,730,420,0
Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,*Methanosarcinaceae*,1400,1810,0,0
Bacteria,Firmicutes,Bacilli,Entomoplasmatales,*Entomoplasmatales_Incertae_Sedis*,2240,970,0,0
Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,*Selenomonadaceae*,2240,680,0,280
Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,*Bradymonadales*,1400,600,1090,0
Bacteria,Firmicutes,Clostridia,Oscillospirales,*Ruminococcaceae*,2240,700,0,150
Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,*Ilumatobacteraceae*,1190,890,890,0
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,*Schlesneriaceae*,0,1260,1100,570
Bacteria,Cyanobacteria,Sericytochromatia,Sericytochromatia,*Sericytochromatia*,1640,910,340,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Amoebophilaceae*,1680,490,680,0
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,*LWQ8*,2800,0,0,0
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,*Acidaminococcaceae*,2230,560,0,0
Bacteria,Myxococcota,Polyangia,Polyangiales,*Phaselicystidaceae*,1330,610,850,0
Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,*Steroidobacteraceae*,0,1700,1080,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,*Enterococcaceae*,2120,650,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,*Run-SP154*,1590,480,650,0
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,*cvE6*,1680,980,0,0
Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,*RBG-13-54-9*,280,360,1880,0
Bacteria,Elusimicrobiota,Lineage_IIb,Lineage_IIb,*Lineage_IIb*,1680,740,0,0
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,*Nocardiaceae*,660,1040,0,690
Bacteria,Patescibacteria,Microgenomatia,Candidatus_Collierbacteria,*Candidatus_Collierbacteria*,1960,360,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,*Family* (*of*) Defluviicoccales,470,520,380,930
Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,*Subgroup_17*,0,2290,0,0
Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,*Sporomusaceae*,1750,340,140,30
Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,*Beggiatoaceae*,2240,0,0,0
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,*Methanobacteriaceae*,1680,490,0,0
Bacteria,Desulfobacterota,Desulfuromonadia,PB19,*PB19*,1540,310,310,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Williamwhitmaniaceae*,1860,290,0,0
Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,*Desulfobulbaceae*,700,780,670,0
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,*Candidatus_Peregrinibacteria*,1960,120,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,EV818SWSAP88,*EV818SWSAP88*,0,730,1330,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,*Rubritaleaceae*,980,1080,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,*Family* (*of*) Aeromonadales,1320,650,0,0
Bacteria,Acidobacteriota,Blastocatellia,DS-100,*DS-100*,0,1080,880,0
Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,*WCHB1-41*,1120,360,460,0
Bacteria,Myxococcota,Polyangia,mle1-27,*mle1-27*,0,310,1550,0
Bacteria,LCP-89,LCP-89,LCP-89,*LCP-89*,1820,0,0,0
Bacteria,Firmicutes,Clostridia,Clostridia,*Hungateiclostridiaceae*,720,900,70,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Marinilabiliaceae*,1470,210,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,*Phormidiaceae*,840,840,0,0
Bacteria,Elusimicrobiota,Elusimicrobia,MVP-88,*MVP-88*,1680,0,0,0
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,*Desulfomicrobiaceae*,1120,490,0,0
Bacteria,Firmicutes,Clostridia,Christensenellales,*Christensenellaceae*,1050,540,0,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*CMW-169*,1400,170,0,0
Bacteria,RCP2-54,RCP2-54,RCP2-54,*RCP2-54*,700,840,0,0
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Abawacabacteria,*Candidatus_Abawacabacteria*,1400,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,HglApr721,*HglApr721*,0,0,0,1400
Bacteria,Sumerlaeota,Sumerlaeia,Sumerlaeales,*Sumerlaeaceae*,0,1400,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*TRA3-20*,700,0,670,0
Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,*Armatimonadaceae*,700,0,330,280
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Family* (*of*) Rhizobiales,0,320,690,280
Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,*Victivallales*,980,310,0,0
Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,*Blastocatellaceae*,0,370,890,0
Bacteria,Patescibacteria,Microgenomatia,Candidatus_Woesebacteria,*Candidatus_Woesebacteria*,770,180,170,140
Bacteria,Desulfobacterota,Class of Desulfobacterota,Order of Desulfobacterota,*Family* (*of*) Desulfobacterota,0,910,0,280
Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,*Elsteraceae*,130,180,220,650
Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,*AKYG1722*,560,130,440,0
Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,*Iamiaceae*,0,0,1120,0
Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,*JGI_0000069-P22*,1120,0,0,0
Bacteria,Acidobacteriota,Blastocatellia,11-24,*11-24*,0,1090,0,0
Bacteria,Acidobacteriota,Holophagae,Subgroup_7,*Subgroup_7*,560,0,530,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,*Alcanivoracaceae*,560,490,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Marinifilaceae*,900,120,0,0
Bacteria,Firmicutes,Clostridia,Clostridiales,*Caloramatoraceae*,650,150,0,220
Bacteria,Planctomycetota,BD7-11,BD7-11,*BD7-11*,280,740,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Hymenobacteraceae*,0,520,0,470
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*B1-7BS*,0,840,110,0
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),*Absconditabacteriales_(SR1)*,630,300,0,0
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,*Chlamydiaceae*,700,0,220,0
Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,*Bifidobacteriaceae*,510,400,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,EC3,*EC3*,0,0,870,0
Bacteria,Firmicutes,Bacilli,RF39,*RF39*,0,850,0,0
Bacteria,Bdellovibrionota,Oligoflexia,Silvanigrellales,*Silvanigrellaceae*,0,840,0,0
Bacteria,Desulfobacterota,Syntrophia,Syntrophales,*Syntrophaceae*,840,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Pleomorphomonadaceae*,0,0,0,840
Bacteria,Firmicutes,Clostridia,Clostridia,*Gracilibacteraceae*,660,120,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*A21b*,0,190,570,0
Bacteria,Firmicutes,Bacilli,Bacillales,*Bacillaceae*,310,430,0,0
Bacteria,Chloroflexi,OLB14,OLB14,*OLB14*,0,730,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,*Geminicoccaceae*,420,310,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,*Family* (*of*) Elsterales,0,710,0,0
Bacteria,Patescibacteria,Berkelbacteria,Berkelbacteria,*Berkelbacteria*,700,0,0,0
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,*Criblamydiaceae*,700,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*T34*,280,110,180,120
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*M2PB4-65_termite_group*,660,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Dysgonomonadaceae*,630,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,PeM15,*PeM15*,0,610,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,NRL2,*NRL2*,0,610,0,0
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,*Brevibacteriaceae*,0,600,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Cyclobacteriaceae*,0,160,440,0
Bacteria,Dependentiae,Babeliae,Babeliales,*Babeliaceae*,0,600,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,*Psychromonadaceae*,450,150,0,0
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,*Fusobacteriaceae*,360,230,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Chitinimonadaceae*,510,80,0,0
Bacteria,Chloroflexi,KD4-96,KD4-96,*KD4-96*,0,0,580,0
Bacteria,NB1-j,NB1-j,NB1-j,*NB1-j*,0,250,330,0
Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,*Dongiaceae*,40,140,170,220
Bacteria,Armatimonadota,Class of Armatimonadota,Order of Armatimonadota,*Family* (*of*) Armatimonadota,0,130,430,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*ST-12K33*,560,0,0,0
Bacteria,Firmicutes,Clostridia,Oscillospirales,*[Eubacterium]_coprostanoligenes_group*,560,0,0,0
Bacteria,Patescibacteria,CPR2,CPR2,*CPR2*,560,0,0,0
Bacteria,Spirochaetota,MVP-15,MVP-15,*MVP-15*,560,0,0,0
Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,*Ardenticatenaceae*,420,120,0,0
Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,*Kineosporiaceae*,0,0,510,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*Muribaculaceae*,350,160,0,0
Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,*Dadabacteriales*,0,490,0,0
Bacteria,Verrucomicrobiota,Lentisphaeria,SS1-B-02-17,*SS1-B-02-17*,0,480,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,*Streptococcaceae*,470,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,*Family* (*of*) Micrococcales,280,180,0,0
Bacteria,Cyanobacteria,Vampirivibrionia,Caenarcaniphilales,*Caenarcaniphilales*,0,0,430,0
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,*Coriobacteriaceae*,340,80,0,0
Bacteria,Myxococcota,Polyangia,Order of Polyangia,*Family* (*of*) Polyangia,420,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Lloydbacteria,*Candidatus_Lloydbacteria*,420,0,0,0
Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,*Spirochaetaceae*,420,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Family* (*of*) Cytophagales,0,130,280,0
Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,*Azospirillaceae*,0,0,0,410
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Labraceae*,280,130,0,0
Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,*Veillonellaceae*,140,250,0,0
Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,*Sulfurospirillaceae*,0,370,0,0
Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,*Desulforegulaceae*,0,370,0,0
Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,*Desulfitobacteriaceae*,220,100,0,50
Bacteria,Myxococcota,bacteriap25,bacteriap25,*bacteriap25*,0,370,0,0
Bacteria,Planctomycetota,028H05-P-BN-P5,028H05-P-BN-P5,*028H05-P-BN-P5*,0,370,0,0
Bacteria,Acidobacteriota,Acidobacteriae,Elev-16S-1166,*Elev-16S-1166*,0,360,0,0
Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,*Solirubrobacteraceae*,0,360,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,*Arenicellaceae*,0,360,0,0
Bacteria,Chloroflexi,Anaerolineae,SBR1031,*SBR1031*,0,0,350,0
Bacteria,Myxococcota,Polyangia,Polyangiales,*BIrii41*,350,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,*Sporichthyaceae*,0,40,300,0
Bacteria,Firmicutes,Desulfotomaculia,Desulfotomaculales,*Desulfotomaculales*,70,100,150,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*FFCH9454*,0,290,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,Limnotrichales,*Limnotrichaceae*,280,0,0,0
Bacteria,Firmicutes,Bacilli,Izemoplasmatales,*Izemoplasmataceae*,280,0,0,0
Bacteria,Modulibacteria,Moduliflexia,Moduliflexales,*Moduliflexaceae*,280,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Jorgensenbacteria,*Candidatus_Jorgensenbacteria*,280,0,0,0
Bacteria,Planctomycetota,vadinHA49,vadinHA49,*vadinHA49*,280,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,*Pseudonocardiaceae*,0,250,0,0
Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,*Vampirovibrionaceae*,0,250,0,0
Bacteria,Fibrobacterota,Chitinivibrionia,Chitinivibrionales,*Chitinivibrionaceae*,0,250,0,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,*Methylacidiphilaceae*,0,250,0,0
Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,*Clostridia_UCG-014*,240,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,*Eubacteriaceae*,0,240,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,*Chromatiaceae*,0,240,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*SB-5*,0,160,70,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,*Fusibacteraceae*,140,90,0,0
Bacteria,Firmicutes,Clostridia,Order of Clostridia,*Family* (*of*) Clostridia,0,190,30,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Chromobacteriaceae*,210,0,0,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,*Anaerovoracaceae*,200,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Tenderiales,*Tenderiaceae*,0,200,0,0
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*SCGC_AAA011-D5*,0,180,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,*Bacteroidetes_VC2.1_Bac22*,0,180,0,0
Bacteria,Firmicutes,Symbiobacteriia,Symbiobacteriales,*Symbiobacteraceae*,0,180,0,0
Bacteria,Planctomycetota,Planctomycetes,Order of Planctomycetes,*Family* (*of*) Planctomycetes,0,180,0,0
Bacteria,Firmicutes,Bacilli,Paenibacillales,*Paenibacillaceae*,0,140,30,0
Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,*Defluviicoccaceae*,0,170,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,*ML635J-40_aquatic_group*,0,160,0,0
Bacteria,Firmicutes,Clostridia,Caldicoprobacterales,*Caldicoprobacteraceae*,0,160,0,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,*Sedimentibacteraceae*,160,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,*Francisellaceae*,0,160,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,*Chroococcidiopsaceae*,0,0,0,140
Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,*Fimbriimonadaceae*,0,130,0,0
Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,*Chloroflexaceae*,0,130,0,0
