Kingdom,Phylum,Class,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Acidobacteriota,*Subgroup_5*,0.07,0,0,0,0,0
Bacteria,Verrucomicrobiota,*Lentisphaeria*,0.07,0,0,0,0,0
Bacteria,Latescibacterota,*Latescibacterota*,0.06,0.01,0,0,0,0
Bacteria,Planctomycetota,*Pla3_lineage*,0.06,0,0,0,0,0
Archaea,Thermoplasmatota,*Thermoplasmata*,0.03,0,0.01,0,0.01,0
Bacteria,FCPU426,*FCPU426*,0.04,0.01,0,0,0,0
Bacteria,WPS-2,*WPS-2*,0.04,0,0,0,0,0
Bacteria,Desulfobacterota,*Desulfuromonadia*,0.04,0,0,0,0,0
Archaea,Crenarchaeota,*Nitrososphaeria*,0.03,0,0,0,0,0
Bacteria,Gemmatimonadota,*Gemmatimonadetes*,0.03,0,0,0,0,0
Bacteria,Chloroflexi,*TK10*,0.03,0,0,0,0,0
Bacteria,Chloroflexi,*KD4-96*,0.02,0,0,0,0,0
Bacteria,MBNT15,*MBNT15*,0.03,0,0,0,0,0
Bacteria,Desulfobacterota,*Desulfobaccia*,0.03,0,0,0,0,0
Bacteria,Sumerlaeota,*Sumerlaeia*,0.03,0,0,0,0,0
Bacteria,Patescibacteria,*Berkelbacteria*,0.02,0.01,0,0,0,0
Bacteria,Armatimonadota,*Class* (*of*) Armatimonadota,0.03,0,0,0,0,0
Bacteria,Bacteroidota,*OC31*,0.01,0.02,0,0,0,0
Bacteria,Spirochaetota,*Leptospirae*,0.02,0,0,0,0,0
Bacteria,Bacteroidota,*Kapabacteria*,0.02,0,0,0,0,0
Bacteria,Margulisbacteria,*Margulisbacteria*,0.02,0,0,0,0,0
Bacteria,Desulfobacterota,*Syntrophia*,0.02,0,0,0,0,0
Bacteria,Hydrogenedentes,*Hydrogenedentia*,0.02,0,0,0,0,0
Bacteria,Bacteroidota,*Rhodothermia*,0,0,0,0,0.01,0.01
Bacteria,Methylomirabilota,*Methylomirabilia*,0.02,0,0,0,0,0
Archaea,Micrarchaeota,*Micrarchaeia*,0.01,0,0,0,0.01,0
Bacteria,Marinimicrobia_(SAR406_clade),*Marinimicrobia_(SAR406_clade)*,0.01,0,0,0,0,0
Bacteria,Caldatribacteriota,*JS1*,0.01,0.01,0,0,0,0
Archaea,Altiarchaeota,*Altiarchaeia*,0,0.01,0,0,0,0
Bacteria,Bacteroidota,*Kryptonia*,0.02,0,0,0,0,0
Bacteria,Firmicutes,*Clostridia*,0.01,0,0,0,0,0
Bacteria,Cyanobacteria,*Sericytochromatia*,0.01,0,0,0,0,0
Bacteria,NB1-j,*NB1-j*,0.01,0,0,0,0,0
Archaea,Aenigmarchaeota,*Aenigmarchaeota*,0,0.01,0,0,0,0
Bacteria,Armatimonadota,*Chthonomonadetes*,0.01,0,0,0,0,0
Bacteria,Desulfobacterota,*Desulfobacteria*,0.01,0,0,0,0,0
Bacteria,Latescibacterota,*Latescibacteria*,0.01,0,0,0,0,0
Bacteria,Planctomycetota,*028H05-P-BN-P5*,0.01,0,0,0,0,0
Bacteria,Bacteroidota,*Class* (*of*) Bacteroidota,0.01,0,0,0,0,0
Bacteria,Acidobacteriota,*Aminicenantia*,0.01,0,0,0,0,0
Bacteria,Chloroflexi,*Class* (*of*) Chloroflexi,0.01,0,0,0,0,0
Bacteria,Nitrospirota,*Leptospirillia*,0.01,0,0,0,0,0
Bacteria,Armatimonadota,*Fimbriimonadia*,0.01,0,0,0,0,0
Bacteria,Elusimicrobiota,*Class* (*of*) Elusimicrobiota,0.01,0,0,0,0,0
Bacteria,WOR-1,*WOR-1*,0.01,0,0,0,0,0
Bacteria,Actinobacteriota,*Class* (*of*) Actinobacteriota,0,0,0,0,0,0
Bacteria,Patescibacteria,*ABY1*,0,0,0,0,0,0
Archaea,Halobacterota,*ANME-1*,0,0,0,0,0,0
Bacteria,Chloroflexi,*Chloroflexia*,0,0,0,0,0,0
Bacteria,Desulfobacterota,*Desulfobulbia*,0,0,0,0,0,0
Bacteria,Elusimicrobiota,*4-29*,0,0,0,0,0,0
Archaea,Halobacterota,*Methanomicrobia*,0,0,0,0,0,0
Bacteria,Campilobacterota,*Campylobacteria*,0,0,0,0,0,0
Bacteria,TA06,*TA06*,0,0,0,0,0,0
Archaea,Aenigmarchaeota,*Deep_Sea_Euryarchaeotic_Group(DSEG)*,0,0,0,0,0,0
Bacteria,Acidobacteriota,*Thermoanaerobaculia*,0,0,0,0,0,0
Bacteria,Firmicutes,*Thermacetogenia*,0,0,0,0,0,0
Bacteria,NKB15,*NKB15*,0,0,0,0,0,0
Bacteria,Nitrospinota,*P9X2b3D02*,0,0,0,0,0,0
